what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1401629440419
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1401629440421
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1401629440424
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1401629440426
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1401629440427
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1401629440429
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1401629440507
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1401629440509
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1401629440510
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1401629440511
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1401629440560
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1401629440561
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1401629440562
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1401629440563
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1401629440564
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1401629440564
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1401629440565
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1401629440566
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1401629440567
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1401629440568
os,sysinfo,,,"win32",1401629440574
arch,sysinfo,,,"x86_64",1401629440574
ws,sysinfo,,,"win32",1401629440574
locale,sysinfo,,,"en_US",1401629440574
processors,sysinfo,,,"4",1401629440574
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401629440574
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1401629440574
java.specification.name,sysinfo,,,"Java Platform API Specification",1401629440574
java.specification.vendor,sysinfo,,,"Oracle Corporation",1401629440574
java.specification.version,sysinfo,,,"1.7",1401629440574
java.vendor,sysinfo,,,"Oracle Corporation",1401629440574
java.version,sysinfo,,,"1.7.0_51",1401629440574
java.vm.info,sysinfo,,,"mixed mode",1401629440574
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1401629440574
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401629440574
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401629440574
java.vm.specification.version,sysinfo,,,"1.7",1401629440574
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401629440574
java.vm.version,sysinfo,,,"24.51-b03",1401629440574
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401629440621
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1401629440757
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1401629440863
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1401629441009
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1401629441069
