what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402071691494
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402071694532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071704977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071712430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071722737
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1402071724820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1402071725308
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071726567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071730881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071751854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071764435
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1402071764510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071772172
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402071772919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071774925
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071777532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1402071789629
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1402071791786
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071796891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071798278
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071805929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1402071812333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071813878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071822690
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071823514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071825505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071832047
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1402071833767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071834794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071835888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071840503
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071848976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071850270
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071861152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071866496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071870464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071876449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071882163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071883423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071924188
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1402071928328
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402071928567
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402071928642
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1402071939183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402071940662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071943169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071948609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071981821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1402071990256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1402072001655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072002521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072004314
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072006088
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072011442
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402072018627
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402072020503
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402072022723
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402072022723
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072024569
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1402072024569
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072025924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072033387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072048981
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072053144
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072057819
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072063909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1402072085673
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072092826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072098309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1402072125177
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072134824
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072136071
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072137380
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1402072139050
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072152024
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1402072164706
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1402072164855
