what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1399374105183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374171378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374193578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374230251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374267122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374268768
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374271257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374273026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374275147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374299040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374308932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374312322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374313913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374316128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374317563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374345505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374352357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374363169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374376776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374378056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374382599
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374384390
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374391949
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1399374431975
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374433494
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374436229
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374440549
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374450524
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374454019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374463120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374464888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374465416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374471123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374472528
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374479622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374481096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374491825
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374546719
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374551701
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374554511
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374556529
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374562982
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374564970
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1399374567048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374569247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374575671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1399374576936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374578336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1399374594497
