what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1401941394067
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1401941394068
os,sysinfo,,,"win32",1401941394074
arch,sysinfo,,,"x86_64",1401941394074
ws,sysinfo,,,"win32",1401941394074
locale,sysinfo,,,"en_US",1401941394074
processors,sysinfo,,,"4",1401941394074
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401941394074
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1401941394074
java.specification.name,sysinfo,,,"Java Platform API Specification",1401941394074
java.specification.vendor,sysinfo,,,"Oracle Corporation",1401941394074
java.specification.version,sysinfo,,,"1.7",1401941394074
java.vendor,sysinfo,,,"Oracle Corporation",1401941394074
java.version,sysinfo,,,"1.7.0_51",1401941394074
java.vm.info,sysinfo,,,"mixed mode",1401941394074
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1401941394074
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401941394074
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401941394074
java.vm.specification.version,sysinfo,,,"1.7",1401941394074
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401941394074
java.vm.version,sysinfo,,,"24.51-b03",1401941394074
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1401941394327
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1401941394436
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1401941394484
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1401941394605
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1401941394625
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401941394780
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1401941394816
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1401941394836
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401941394858
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401941395412
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1401941395617
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1401941395777
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1401941397534
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1401941397780
