what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361641054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361642617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361643413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361644752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401361653186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361656221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361660184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361689927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361712712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361718596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361736425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361739430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361741897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361752436
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361761888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361792644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361816842
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401361845271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361897894
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361900211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361901387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361921872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1401361941122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1401361948870
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401361950608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361952347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401361953239
