what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1397086867974
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086869752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086870781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086871277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086886063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1397086980620
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086981674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397086992412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087090435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087194017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087195913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087197277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087200421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087202319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087203775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087229206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087230874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087238354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087260859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087324155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087817217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397087819160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397089859696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397089863730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397089888646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397089895185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090007357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090008951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090089427
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1397090100760
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090105995
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090113446
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090113500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090113552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090123659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090356908
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1397090365028
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090367074
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090392529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090393822
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090394921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090395617
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397090424145
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1397090426163
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1397090433870
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090434099
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090434188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1397090437514
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1397090438743
