what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538195456
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538203089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538203963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538204913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538223338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538469269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538588930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538589918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538605845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538606654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538822368
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1401538827276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538828725
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538864409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538865253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538882669
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401538885773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401538902014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401538903252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401540647836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401540653976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401556912117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401557910809
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557933445
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557933445
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557936749
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557940830
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557940830
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557944565
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557944565
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557947787
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557947871
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557947871
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1401557956890
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557960214
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557960343
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1401557974667
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557976956
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1401557977096
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1401558109736
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1401558111748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1401558127948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401558174043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1401558192181
